MINISTÉRIO DA FAZENDA - MF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SECRETARIA DO TESOURO NACIONAL - STN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COORDENAÇÃO-GERAL DE ANÁLISE E INFORMAÇÕES DAS TRANSFERÊNCIAS FINANCEIRAS INTERGOVERNAMENTAIS - COINT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ESTADOS;UF;janeiro/20;fevereiro/20;março/20;abril/20;maio/20;junho/20;julho/20;agosto/20;setembro/20;outubro/20;novembro/20;dezembro/20;janeiro/21;fevereiro/21;março/21;abril/21;maio/21;junho/21;julho/21;agosto/21;setembro/21;outubro/21;novembro/21;dezembro/21;janeiro/22;fevereiro/22;março/22;abril/22;maio/22;junho/22;julho/22;agosto/22;setembro/22;outubro/22;novembro/22;dezembro/22;janeiro/23;fevereiro/23;março/23;abril/23;maio/23;junho/23;julho/23;agosto/23;setembro/23;outubro/23;novembro/23;dezembro/23
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acre;AC; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1.863.750,00 ; 244.275,00 ; 122.137,50 ; 122.137,50 ; 122.137,50 ; 122.137,50 ; 122.137,50 ; 122.137,50 ; 122.137,50 ; 122.137,50 ; 122.137,50 ; 122.137,50 ; 113.800,00 ; 113.800,00 ; 113.800,00 ; 113.800,00 ; 113.800,00 ; 113.800,00 ; 113.800,00 ; 113.800,00 ; 113.800,00 ; 113.800,00 ; 113.800,00 ; 113.800,00 ; 113.800,00 ; 113.800,00 ; 113.800,00 ; 113.800,00 ; 113.800,00 ; 113.800,00 ; 113.800,00 ; 113.800,00 ; 113.800,00 ; -   ; -   ; -   
Alagoas;AL; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 13.501.500,00 ; -   ; 2.749.800,12 ; 1.374.900,06 ; 1.374.900,06 ; 1.374.900,06 ; 1.374.900,06 ; 1.374.900,06 ; 1.374.900,06 ; 1.374.900,06 ; 1.374.900,06 ; 1.374.900,06 ; 1.374.900,06 ; 1.131.425,01 ; 1.131.425,01 ; 1.131.425,01 ; 1.131.425,01 ; 1.131.425,01 ; 1.131.425,01 ; 1.131.425,01 ; 1.131.425,01 ; 1.131.425,01 ; 1.131.425,01 ; 1.131.425,01 ; 1.131.425,01 ; 1.209.712,55 ; 1.209.712,55 ; 1.209.712,55 ; 1.209.712,55 ; 1.209.712,55 ; 1.209.712,55 ; 1.209.712,55 ; 1.209.712,55 ; 1.209.712,55 ; -   ; -   ; -   
Amazonas;AM; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 21.627.750,00 ; 3.391.875,18 ; 1.695.937,59 ; 1.695.937,59 ; 1.695.937,59 ; 1.695.937,59 ; 1.695.937,59 ; 1.695.937,59 ; 1.695.937,59 ; 1.695.937,59 ; 1.695.937,59 ; 1.695.937,59 ; 1.353.512,51 ; 1.353.512,51 ; 1.353.512,51 ; 1.353.512,51 ; 1.353.512,51 ; 1.353.512,51 ; 1.353.512,51 ; 1.353.512,51 ; 1.353.512,51 ; 1.353.512,51 ; 1.353.512,51 ; 1.353.512,51 ; 1.372.300,03 ; 1.372.300,03 ; 1.372.300,03 ; 1.372.300,03 ; 1.372.300,03 ; 1.372.300,03 ; 1.372.300,03 ; 1.372.300,03 ; 1.372.300,03 ; -   ; -   ; -   
Amapá;AP; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6.097.200,00 ; -   ; 1.016.200,00 ; 508.100,00 ; 508.100,00 ; 508.100,00 ; 508.100,00 ; 508.100,00 ; 508.100,00 ; 508.100,00 ; 508.100,00 ; 508.100,00 ; 508.100,00 ; 508.100,00 ; 508.100,00 ; 508.100,00 ; 508.100,00 ; 508.100,00 ; 508.100,00 ; 508.100,00 ; 508.100,00 ; 508.100,00 ; 508.100,00 ; 508.100,00 ; 508.100,00 ; 508.100,00 ; 508.100,00 ; 508.100,00 ; 508.100,00 ; 508.100,00 ; 508.100,00 ; 508.100,00 ; 508.100,00 ; 508.100,00 ; -   ; -   ; -   
Bahia;BA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 132.315.450,00 ; 19.445.827,04 ; 9.722.913,52 ; 9.722.913,52 ; 9.722.913,52 ; 9.722.913,52 ; 9.722.913,52 ; 9.722.913,52 ; 9.722.913,52 ; 9.722.913,52 ; 9.722.913,52 ; 9.722.913,52 ; 9.913.038,03 ; 9.913.038,03 ; 9.913.038,03 ; 9.913.038,03 ; 9.913.038,03 ; 9.913.038,03 ; 9.913.038,03 ; 9.913.038,03 ; 9.913.038,03 ; 9.913.038,03 ; 9.913.038,03 ; 9.913.038,03 ; 10.083.526,63 ; 10.083.526,63 ; 10.083.526,63 ; 10.083.526,63 ; 10.083.526,63 ; 10.083.526,63 ; 10.083.526,63 ; 10.083.526,63 ; 10.083.526,63 ; -   ; -   ; -   
Ceará;CE; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 43.001.700,00 ; -   ; 6.438.900,48 ; 3.219.450,24 ; 3.219.450,24 ; 3.219.450,24 ; 3.219.450,24 ; 3.219.450,24 ; 3.219.450,24 ; 3.219.450,24 ; 3.219.450,24 ; 3.219.450,24 ; 3.219.450,24 ; 2.625.025,06 ; 2.625.025,06 ; 2.625.025,06 ; 2.625.025,06 ; 2.625.025,06 ; 2.625.025,06 ; 2.625.025,06 ; 2.625.025,06 ; 2.625.025,06 ; 2.625.025,06 ; 2.625.025,06 ; 2.625.025,06 ; 2.958.600,28 ; 2.958.600,28 ; 2.958.600,28 ; 2.958.600,28 ; 2.958.600,28 ; 2.958.600,28 ; 2.958.600,28 ; 2.958.600,28 ; 2.958.600,28 ; -   ; -   ; -   
Distrito Federal;DF; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 12.146.250,00 ; -   ; 2.024.375,00 ; 1.012.187,50 ; 1.012.187,50 ; 1.012.187,50 ; 1.012.187,50 ; 1.012.187,50 ; 1.012.187,50 ; 1.012.187,50 ; 1.012.187,50 ; 1.012.187,50 ; 1.012.187,50 ; 1.012.187,50 ; 1.012.187,50 ; 1.012.187,50 ; 1.012.187,50 ; 1.012.187,50 ; 1.012.187,50 ; 1.012.187,50 ; 1.012.187,50 ; 1.012.187,50 ; 1.012.187,50 ; 1.012.187,50 ; 1.012.187,50 ; 1.012.187,50 ; 1.012.187,50 ; 1.012.187,50 ; 1.012.187,50 ; 1.012.187,50 ; 1.012.187,50 ; 1.012.187,50 ; 1.012.187,50 ; 1.012.187,50 ; -   ; -   ; -   
Espírito Santo;ES; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 115.466.100,00 ; 14.103.900,68 ; 7.051.950,34 ; 7.051.950,34 ; 7.051.950,34 ; 7.051.950,34 ; 7.051.950,34 ; 7.051.950,34 ; 7.051.950,34 ; 7.051.950,34 ; 7.051.950,34 ; 7.051.950,34 ; 7.435.800,21 ; 7.435.800,21 ; 7.435.800,21 ; 7.435.800,21 ; 7.435.800,21 ; 7.435.800,21 ; 7.435.800,21 ; 7.435.800,21 ; 7.435.800,21 ; 7.435.800,21 ; 7.435.800,21 ; 7.435.800,21 ; 8.434.513,43 ; 8.434.513,43 ; 8.434.513,43 ; 8.434.513,43 ; 8.434.513,43 ; 8.434.513,43 ; 8.434.513,43 ; 8.434.513,43 ; 8.434.513,43 ; -   ; -   ; -   
Goiás;GO; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 144.519.150,00 ; 26.828.679,70 ; 13.414.339,85 ; 13.414.339,85 ; 13.414.339,85 ; 13.414.339,85 ; 13.414.339,85 ; 13.414.339,85 ; 13.414.339,85 ; 13.414.339,85 ; 13.414.339,85 ; 13.414.339,85 ; 12.609.313,59 ; 12.609.313,59 ; 12.609.313,59 ; 12.609.313,59 ; 12.609.313,59 ; 12.609.313,59 ; 12.609.313,59 ; 12.609.313,59 ; 12.609.313,59 ; 12.609.313,59 ; 12.609.313,59 ; 12.609.313,59 ; 13.910.091,17 ; 13.910.091,17 ; 13.910.091,17 ; 13.910.091,17 ; 13.910.091,17 ; 13.910.091,17 ; 13.910.091,17 ; 13.910.091,17 ; 13.910.091,17 ; -   ; -   ; -   
