MINISTÉRIO DA FAZENDA - MF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SECRETARIA DO TESOURO NACIONAL - STN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COORDENAÇÃO-GERAL DE ANÁLISE E INFORMAÇÕES DAS TRANSFERÊNCIAS FINANCEIRAS INTERGOVERNAMENTAIS - COINT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ESTADOS;UF;janeiro/20;fevereiro/20;março/20;abril/20;maio/20;junho/20;julho/20;agosto/20;setembro/20;outubro/20;novembro/20;dezembro/20;janeiro/21;fevereiro/21;março/21;abril/21;maio/21;junho/21;julho/21;agosto/21;setembro/21;outubro/21;novembro/21;dezembro/21;janeiro/22;fevereiro/22;março/22;abril/22;maio/22;junho/22;julho/22;agosto/22;setembro/22;outubro/22;novembro/22;dezembro/22;janeiro/23;fevereiro/23;março/23;abril/23;maio/23;junho/23;julho/23;agosto/23;setembro/23;outubro/23;novembro/23;dezembro/23
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acre;AC; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 168.669,58 ; 433.918,08 ; 78.993,92 ; 39.496,96 ; 39.496,96 ; 39.496,96 ; 39.496,96 ; 39.496,96 ; 39.496,96 ; 39.496,96 ; 39.496,96 ; 39.496,96 ; 39.496,96 ; 36.835,34 ; 36.835,34 ; 36.835,34 ; 36.835,34 ; 36.835,34 ; 36.835,34 ; 36.835,34 ; 36.835,34 ; 36.835,34 ; 36.835,34 ; 36.835,34 ; 36.835,34 ; 36.846,23 ; 36.846,23 ; 36.846,23 ; 36.846,23 ; 36.846,23 ; 36.846,23 ; 36.846,23 ; 36.846,23 ; 36.846,23 ; -   ; -   ; -   
Alagoas;AL; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2.193.476,20 ; 2.249.934,95 ; 905.462,40 ; 452.731,20 ; 452.731,20 ; 452.731,20 ; 452.731,20 ; 452.731,20 ; 452.731,20 ; 452.731,20 ; 452.731,20 ; 452.731,20 ; 452.731,20 ; 372.882,97 ; 372.882,97 ; 372.882,97 ; 372.882,97 ; 372.882,97 ; 372.882,97 ; 372.882,97 ; 372.882,97 ; 372.882,97 ; 372.882,97 ; 372.882,97 ; 372.978,38 ; 398.429,65 ; 398.459,92 ; 398.459,92 ; 398.459,92 ; 398.459,92 ; 398.459,92 ; 398.459,92 ; 398.459,92 ; 398.459,92 ; -   ; -   ; -   
Amazonas;AM; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6.640.609,99 ; 422.043,21 ; 1.107.634,24 ; 553.817,12 ; 553.817,12 ; 553.817,12 ; 553.817,12 ; 553.817,12 ; 553.817,12 ; 553.817,12 ; 553.817,12 ; 553.817,12 ; 553.817,12 ; 441.996,47 ; 441.996,47 ; 441.996,47 ; 441.996,47 ; 441.996,47 ; 441.996,47 ; 441.996,47 ; 441.996,47 ; 441.996,47 ; 441.996,47 ; 441.996,47 ; 441.996,47 ; 448.131,66 ; 448.131,66 ; 448.131,66 ; 448.131,66 ; 448.131,66 ; 448.131,66 ; 448.131,66 ; 448.131,66 ; 448.131,66 ; -   ; -   ; -   
Amapá;AP; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1.144.890,25 ; 835.410,85 ; 324.607,10 ; 162.303,55 ; 162.303,55 ; 162.303,55 ; 162.303,55 ; 162.303,55 ; 162.303,55 ; 162.303,55 ; 162.303,55 ; 162.303,55 ; 162.303,55 ; 162.196,79 ; 162.196,79 ; 162.196,79 ; 162.196,79 ; 162.196,79 ; 162.196,79 ; 162.196,79 ; 162.196,79 ; 162.196,79 ; 162.196,79 ; 162.196,79 ; 162.196,79 ; 163.072,87 ; 163.072,87 ; 163.072,87 ; 163.072,87 ; 163.072,87 ; 163.072,87 ; 163.072,87 ; 163.072,87 ; 163.072,87 ; -   ; -   ; -   
Bahia;BA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 32.977.077,05 ; 10.700.981,67 ; 6.412.328,76 ; 3.206.164,38 ; 3.206.164,38 ; 3.206.164,38 ; 3.206.164,38 ; 3.206.164,38 ; 3.206.164,39 ; 3.206.164,39 ; 3.206.164,39 ; 3.206.164,40 ; 3.206.164,40 ; 3.266.842,88 ; 3.266.842,88 ; 3.266.842,88 ; 3.266.842,88 ; 3.266.842,88 ; 3.266.842,87 ; 3.266.842,88 ; 3.266.842,88 ; 3.266.842,88 ; 3.266.842,88 ; 3.266.842,88 ; 3.266.842,88 ; 3.327.672,28 ; 3.327.672,28 ; 3.327.672,28 ; 3.327.672,28 ; 3.327.672,28 ; 3.327.672,28 ; 3.327.672,28 ; 3.327.672,28 ; 3.327.672,28 ; -   ; -   ; -   
Ceará;CE; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 12.529.268,78 ; 1.747.485,91 ; 2.137.875,00 ; 1.068.937,50 ; 1.068.937,50 ; 1.068.937,50 ; 1.068.937,50 ; 1.068.937,50 ; 1.068.937,50 ; 1.068.937,50 ; 1.068.937,50 ; 1.068.937,50 ; 1.068.937,50 ; 870.575,63 ; 870.575,63 ; 870.575,63 ; 870.575,63 ; 870.575,63 ; 870.575,63 ; 870.575,63 ; 870.575,63 ; 870.575,63 ; 870.575,63 ; 870.575,63 ; 870.575,63 ; 980.583,64 ; 980.583,64 ; 980.583,64 ; 980.583,64 ; 980.583,64 ; 980.583,64 ; 980.583,64 ; 980.583,64 ; 980.583,64 ; -   ; -   ; -   
Distrito Federal;DF; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4.048.750,00 ; -   ; 674.791,66 ; 337.395,83 ; 337.395,83 ; 337.395,83 ; 337.395,83 ; 337.395,83 ; 337.395,83 ; 337.395,83 ; 337.395,83 ; 337.395,83 ; 337.395,83 ; 337.395,83 ; 337.395,83 ; 337.395,83 ; 337.395,83 ; 337.395,83 ; 337.395,83 ; 337.395,83 ; 337.395,83 ; 337.395,83 ; 337.395,83 ; 337.395,83 ; 337.395,83 ; 337.395,83 ; 337.395,83 ; 337.395,83 ; 337.395,83 ; 337.395,83 ; 337.395,83 ; 337.395,83 ; 337.395,83 ; 337.395,83 ; -   ; -   ; -   
Espírito Santo;ES; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 17.706.726,52 ; 20.781.973,58 ; 4.701.300,22 ; 2.350.650,11 ; 2.350.650,11 ; 2.350.650,11 ; 2.350.650,11 ; 2.350.650,11 ; 2.350.650,11 ; 2.350.650,11 ; 2.350.650,11 ; 2.350.650,11 ; 2.350.650,11 ; 2.478.600,13 ; 2.478.600,13 ; 2.478.600,13 ; 2.478.600,13 ; 2.478.600,13 ; 2.478.600,13 ; 2.478.600,13 ; 2.478.600,13 ; 2.478.600,13 ; 2.478.600,13 ; 2.478.600,13 ; 2.478.600,13 ; 2.811.504,49 ; 2.811.504,49 ; 2.811.504,49 ; 2.811.504,49 ; 2.811.504,49 ; 2.811.504,49 ; 2.811.504,49 ; 2.811.504,49 ; 2.811.504,49 ; -   ; -   ; -   
Goiás;GO; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 33.851.922,09 ; 14.321.127,92 ; 8.942.893,38 ; 4.471.446,69 ; 4.471.446,69 ; 4.471.446,69 ; 4.471.446,69 ; 4.471.446,69 ; 4.471.446,69 ; 4.471.446,69 ; 4.471.446,69 ; 4.471.446,69 ; 4.471.446,69 ; 4.203.104,57 ; 4.203.104,57 ; 4.203.104,57 ; 4.203.104,56 ; 4.203.104,56 ; 4.203.104,56 ; 4.203.104,56 ; 4.203.104,56 ; 4.203.104,56 ; 4.203.104,56 ; 4.203.104,56 ; 4.203.104,56 ; 4.636.697,11 ; 4.636.697,11 ; 4.636.697,11 ; 4.636.697,11 ; 4.636.697,11 ; 4.636.697,11 ; 4.636.697,11 ; 4.636.697,11 ; 4.636.697,11 ; -   ; -   ; -   
