,CSV Nome,ESTADOS,UF,Mes,2017,2018,2019,2020,2021,2022
0,CIDEEST,ALAGOAS,AL,1," 4.492.196,43 "," 4.485.114,67 "," 2.295.681,62 "," 2.141.474,89 "," 966.410,06 "," 2.230.921,30 "
1,CIDEEST,ALAGOAS,AL,2, -   , -   , -   , -   , -   , -   
2,CIDEEST,ALAGOAS,AL,3, -   , -   , -   , -   , -   , -   
3,CIDEEST,ALAGOAS,AL,4," 4.186.247,93 "," 3.937.748,87 "," 2.197.306,74 "," 1.940.927,47 "," 803.948,64 "," 2.547.525,07 "
4,CIDEEST,ALAGOAS,AL,5, -   , -   , -   , -   , -   , -   
5,CIDEEST,ALAGOAS,AL,6, -   , -   , -   , -   , -   , -   
6,CIDEEST,ALAGOAS,AL,7," 4.484.446,68 "," 3.927.348,31 "," 2.055.646,05 "," 1.246.130,68 "," 1.118.797,34 "," 2.073.213,83 "
7,CIDEEST,ALAGOAS,AL,8, -   , -   , -   , -   , -   , -   
8,CIDEEST,ALAGOAS,AL,9, -   , -   , -   , -   , -   , -   
9,CIDEEST,ALAGOAS,AL,10," 4.691.614,89 "," 1.981.726,47 "," 2.008.687,94 "," 1.844.064,58 "," 1.807.536,16 "," 453.255,77 "
10,CIDEEST,ALAGOAS,AL,11, -   , -   , -   , -   , -   , -   
11,CIDEEST,ALAGOAS,AL,12, -   , -   , -   , -   , -   , -   
12,CIDEMUN,ALAGOAS,AL,1," 1.497.398,81 "," 1.495.038,22 "," 765.227,21 "," 713.824,96 "," 322.136,69 "," 743.640,43 "
13,CIDEMUN,ALAGOAS,AL,2, -   , -   , -   , -   , -   , -   
14,CIDEMUN,ALAGOAS,AL,3, -   , -   , -   , -   , -   , -   
15,CIDEMUN,ALAGOAS,AL,4," 1.395.415,98 "," 1.312.582,96 "," 732.435,58 "," 646.975,82 "," 267.982,88 "," 849.175,02 "
16,CIDEMUN,ALAGOAS,AL,5, -   , -   , -   , -   , -   , -   
17,CIDEMUN,ALAGOAS,AL,6, -   , -   , -   , -   , -   , -   
18,CIDEMUN,ALAGOAS,AL,7," 1.494.815,56 "," 1.309.116,10 "," 685.215,35 "," 415.376,90 "," 372.932,45 "," 691.071,28 "
19,CIDEMUN,ALAGOAS,AL,8, -   , -   , -   , -   , -   , -   
20,CIDEMUN,ALAGOAS,AL,9, -   , -   , -   , -   , -   , -   
21,CIDEMUN,ALAGOAS,AL,10," 1.563.871,63 "," 660.575,49 "," 669.562,65 "," 614.688,19 "," 602.512,05 "," 151.085,26 "
22,CIDEMUN,ALAGOAS,AL,11, -   , -   , -   , -   , -   , -   
23,CIDEMUN,ALAGOAS,AL,12, -   , -   , -   , -   , -   , -   
24,FEXEST,ALAGOAS,AL,1, -   , -   , -   , -   , -   , -   
25,FEXEST,ALAGOAS,AL,2, -   , -   , -   , -   , -   , -   
26,FEXEST,ALAGOAS,AL,3, -   , -   , -   , -   , -   , -   
27,FEXEST,ALAGOAS,AL,4, -   , -   , -   , -   , -   , -   
28,FEXEST,ALAGOAS,AL,5, -   , -   , -   , -   , -   , -   
29,FEXEST,ALAGOAS,AL,6, -   , -   , -   , -   , -   , -   
30,FEXEST,ALAGOAS,AL,7, -   , -   , -   , -   , -   , -   
31,FEXEST,ALAGOAS,AL,8, -   , -   , -   , -   , -   , -   
32,FEXEST,ALAGOAS,AL,9, -   , -   , -   , -   , -   , -   
33,FEXEST,ALAGOAS,AL,10, -   , -   , -   , -   , -   , -   
34,FEXEST,ALAGOAS,AL,11, -   , -   , -   , -   , -   , -   
35,FEXEST,ALAGOAS,AL,12," 4.060.875,55 ", -   , -   , -   , -   , -   
36,FPE,ALAGOAS,AL,1," 242.256.259,13 "," 256.938.067,84 "," 316.145.617,39 "," 284.004.528,95 "," 343.522.250,88 "," 425.107.461,45 "
37,FPE,ALAGOAS,AL,2," 312.480.032,68 "," 340.389.091,68 "," 346.215.688,45 "," 421.131.607,30 "," 465.851.986,17 "," 608.579.925,82 "
38,FPE,ALAGOAS,AL,3," 194.611.667,81 "," 227.250.288,68 "," 262.326.546,05 "," 240.118.225,32 "," 307.858.308,83 "," 363.537.429,43 "
39,FPE,ALAGOAS,AL,4," 237.045.429,68 "," 238.777.169,94 "," 251.712.969,60 "," 235.803.852,87 "," 321.842.712,90 "," 434.329.556,31 "
40,FPE,ALAGOAS,AL,5," 266.709.687,86 "," 292.944.790,05 "," 324.976.922,74 "," 246.892.312,53 "," 383.886.917,24 "," 478.764.606,29 "
41,FPE,ALAGOAS,AL,6," 246.336.120,13 "," 277.078.584,80 "," 254.055.915,19 "," 199.920.187,35 "," 336.055.910,83 "," 450.767.267,79 "
42,FPE,ALAGOAS,AL,7," 192.429.544,20 "," 186.506.341,18 "," 211.160.052,99 "," 206.875.592,37 "," 296.798.582,66 "," 391.026.195,46 "
43,FPE,ALAGOAS,AL,8," 216.516.165,41 "," 235.682.354,34 "," 258.289.503,24 "," 219.230.786,30 "," 374.853.506,68 "," 445.251.664,36 "
44,FPE,ALAGOAS,AL,9," 182.215.720,50 "," 177.466.410,62 "," 232.679.325,27 "," 176.459.663,93 "," 292.103.893,45 "," 370.109.186,96 "
45,FPE,ALAGOAS,AL,10," 209.049.019,11 "," 200.657.214,70 "," 207.987.958,06 "," 240.448.581,31 "," 324.923.735,11 "," 388.356.393,17 "
46,FPE,ALAGOAS,AL,11," 210.554.322,59 "," 254.093.798,96 "," 288.475.125,58 "," 324.796.490,75 "," 428.288.984,96 "," 492.092.190,38 "
47,FPE,ALAGOAS,AL,12," 286.036.829,40 "," 317.141.414,57 "," 349.443.870,16 "," 342.715.245,32 "," 443.407.610,88 "," 524.174.683,86 "
48,FPM,ALAGOAS,AL,1," 145.580.619,98 "," 146.912.148,63 "," 177.950.228,08 "," 162.175.213,18 "," 195.589.605,86 "," 240.575.074,63 "
49,FPM,ALAGOAS,AL,2," 186.630.437,50 "," 192.060.123,60 "," 195.467.671,03 "," 234.335.942,83 "," 256.368.380,59 "," 335.822.517,17 "
50,FPM,ALAGOAS,AL,3," 116.935.405,25 "," 129.331.549,28 "," 146.355.069,58 "," 137.022.712,62 "," 171.838.340,41 "," 203.589.236,86 "
51,FPM,ALAGOAS,AL,4," 140.887.282,29 "," 135.599.915,59 "," 142.785.479,05 "," 134.312.591,68 "," 179.643.963,32 "," 241.325.336,63 "
52,FPM,ALAGOAS,AL,5," 159.812.303,60 "," 166.414.039,75 "," 183.240.280,74 "," 140.326.251,16 "," 215.907.306,88 "," 268.450.354,06 "
53,FPM,ALAGOAS,AL,6," 147.301.514,37 "," 155.838.834,55 "," 144.337.967,90 "," 114.233.095,74 "," 186.726.295,81 "," 251.186.535,23 "
54,FPM,ALAGOAS,AL,7," 209.295.018,12 "," 197.939.110,91 "," 217.048.812,88 "," 216.870.654,59 "," 278.216.517,43 "," 368.745.402,23 "
55,FPM,ALAGOAS,AL,8," 129.022.633,40 "," 133.525.627,64 "," 144.075.132,19 "," 125.092.250,67 "," 203.992.038,16 "," 245.627.005,21 "
56,FPM,ALAGOAS,AL,9," 108.335.556,07 "," 100.705.130,36 "," 128.248.115,99 "," 100.762.910,40 "," 160.202.577,97 "," 231.739.209,92 "
57,FPM,ALAGOAS,AL,10," 122.775.106,81 "," 114.400.374,89 "," 118.069.045,68 "," 135.586.202,65 "," 178.519.132,96 "," 215.221.022,59 "
58,FPM,ALAGOAS,AL,11," 126.282.793,67 "," 143.700.477,26 "," 160.236.588,83 "," 179.709.242,08 "," 231.847.554,96 "," 270.493.648,26 "
59,FPM,ALAGOAS,AL,12," 261.493.612,39 "," 270.355.933,55 "," 293.598.598,74 "," 287.862.410,40 "," 371.275.056,33 "," 452.993.074,74 "
60,FPMCAPITAIS,ALAGOAS,AL,1," 32.726.061,53 "," 27.847.973,81 "," 33.529.666,15 "," 30.709.059,37 "," 36.861.316,11 "," 45.682.066,51 "
61,FPMCAPITAIS,ALAGOAS,AL,2," 41.953.930,17 "," 36.406.011,21 "," 36.830.330,66 "," 44.373.220,07 "," 48.315.839,26 "," 63.768.312,80 "
62,FPMCAPITAIS,ALAGOAS,AL,3," 26.286.707,98 "," 24.515.478,40 "," 27.576.455,60 "," 25.946.249,80 "," 32.385.091,93 "," 38.658.938,63 "
63,FPMCAPITAIS,ALAGOAS,AL,4," 31.671.013,81 "," 25.703.680,43 "," 26.903.867,69 "," 25.433.068,70 "," 33.856.159,69 "," 45.824.531,43 "
64,FPMCAPITAIS,ALAGOAS,AL,5," 35.925.298,88 "," 31.544.660,54 "," 34.526.426,20 "," 26.571.798,99 "," 40.690.442,02 "," 50.975.218,28 "
65,FPMCAPITAIS,ALAGOAS,AL,6," 33.112.913,05 "," 29.540.074,50 "," 27.196.390,16 "," 21.630.869,71 "," 35.190.914,10 "," 47.697.044,38 "
66,FPMCAPITAIS,ALAGOAS,AL,7," 47.048.855,92 "," 37.520.404,42 "," 40.896.683,87 "," 41.066.040,39 "," 52.433.395,02 "," 70.019.939,16 "
67,FPMCAPITAIS,ALAGOAS,AL,8," 29.003.878,52 "," 25.310.488,12 "," 27.146.866,26 "," 23.687.129,91 "," 38.444.860,05 "," 46.642.754,61 "
68,FPMCAPITAIS,ALAGOAS,AL,9," 24.353.489,11 "," 19.089.189,40 "," 24.164.714,52 "," 19.080.191,80 "," 30.192.186,64 "," 44.009.370,91 "
69,FPMCAPITAIS,ALAGOAS,AL,10," 27.599.454,21 "," 21.685.195,32 "," 22.246.757,88 "," 25.674.236,34 "," 33.644.171,27 "," 40.872.417,82 "
70,FPMCAPITAIS,ALAGOAS,AL,11," 28.387.971,46 "," 27.239.184,61 "," 30.192.033,80 "," 34.029.255,66 "," 43.694.581,85 "," 51.369.189,05 "
71,FPMCAPITAIS,ALAGOAS,AL,12," 58.782.934,89 "," 51.247.395,87 "," 55.320.316,90 "," 54.508.847,21 "," 69.971.444,78 "," 86.027.480,41 "
72,IOFEST,ALAGOAS,AL,1, -   , -   , -   , -   , -   , -   
73,IOFEST,ALAGOAS,AL,2, -   , -   , -   , -   , -   , -   
74,IOFEST,ALAGOAS,AL,3, -   , -   , -   , -   , -   , -   
75,IOFEST,ALAGOAS,AL,4, -   , -   , -   , -   , -   , -   
76,IOFEST,ALAGOAS,AL,5, -   , -   , -   , -   , -   , -   
77,IOFEST,ALAGOAS,AL,6, -   , -   , -   , -   , -   , -   
78,IOFEST,ALAGOAS,AL,7, -   , -   , -   , -   , -   , -   
79,IOFEST,ALAGOAS,AL,8, -   , -   , -   , -   , -   , -   
80,IOFEST,ALAGOAS,AL,9, -   , -   , -   , -   , -   , -   
81,IOFEST,ALAGOAS,AL,10, -   , -   , -   , -   , -   , -   
82,IOFEST,ALAGOAS,AL,11, -   , -   , -   , -   , -   , -   
83,IOFEST,ALAGOAS,AL,12, -   , -   , -   , -   , -   , -   
84,IOFMUN,ALAGOAS,AL,1, -   , -   , -   , -   , -   , -   
85,IOFMUN,ALAGOAS,AL,2, -   , -   , -   , -   , -   , -   
86,IOFMUN,ALAGOAS,AL,3, -   , -   , -   , -   , -   , -   
87,IOFMUN,ALAGOAS,AL,4, -   , -   , -   , -   , -   , -   
